Date,TwitterFollowers,NewFollowers,FacebookFans,NewFans
26/01/2018,26013,0,387995,0
27/01/2018,26031,18,388080,85
28/01/2018,26041,10,388168,88
29/01/2018,26058,17,388261,93
30/01/2018,26074,16,388343,82
31/01/2018,26090,16,388555,212
01/02/2018,26107,17,388677,122
02/02/2018,26117,10,388778,101
03/02/2018,26129,12,388876,98
04/02/2018,26141,12,388984,108
05/02/2018,26153,12,389145,161
06/02/2018,26165,12,389326,181
07/02/2018,26177,12,389448,122
08/02/2018,26189,12,389577,129
09/02/2018,26201,12,389689,112
10/02/2018,26213,12,389835,146
11/02/2018,26225,12,389931,96
12/02/2018,26237,12,390068,137
13/02/2018,26249,12,390209,141
14/02/2018,26261,12,390336,127
15/02/2018,26274,13,390472,136
16/02/2018,26287,13,390662,190
17/02/2018,26291,4,390809,147
18/02/2018,26296,5,390951,142
19/02/2018,26302,6,391010,59
20/02/2018,26309,7,391070,60
21/02/2018,26316,7,391145,75
22/02/2018,26323,7,391187,42
23/02/2018,26330,7,391227,40
24/02/2018,26336,6,391267,40